,Year_x,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group_x,Activity,Gender_x,Unique ID,Age Group_y,Year_y,Gender_y,Number with income (thousands),Mean income,"2022
dollars"
36,2009,Annual,8.48,0.103,All days,25 to 34 years,Sleeping,Male,2009-25 to 34 years-Male,25 to 34 years,2009,Male,19280,40350,53370
37,2010,Annual,8.28,0.097,All days,25 to 34 years,Sleeping,Male,2010-25 to 34 years-Male,25 to 34 years,2010,Male,18810,39850,52000
38,2011,Annual,8.37,0.1,All days,25 to 34 years,Sleeping,Male,2011-25 to 34 years-Male,25 to 34 years,2011,Male,18880,41460,52480
39,2012,Annual,8.55,0.093,All days,25 to 34 years,Sleeping,Male,2012-25 to 34 years-Male,25 to 34 years,2012,Male,19180,43070,53470
40,2013,Annual,8.45,0.104,All days,25 to 34 years,Sleeping,Male,2013-25 to 34 years-Male,25 to 34 years,2013,Male,19840,45150,55390
41,2014,Annual,8.62,0.1,All days,25 to 34 years,Sleeping,Male,2014-25 to 34 years-Male,25 to 34 years,2014,Male,19850,45870,55480
42,2015,Annual,8.79,0.122,All days,25 to 34 years,Sleeping,Male,2015-25 to 34 years-Male,25 to 34 years,2015,Male,20330,48520,58730
43,2016,Annual,8.54,0.101,All days,25 to 34 years,Sleeping,Male,2016-25 to 34 years-Male,25 to 34 years,2016,Male,20710,49330,59190
44,2017,Annual,8.47,0.116,All days,25 to 34 years,Sleeping,Male,2017-25 to 34 years-Male,25 to 34 years,2017,Male,21010,51070,60220
45,2003,Annual,8.2,0.059,All days,35 to 44 years,Sleeping,Male,2003-35 to 44 years-Male,35 to 44 years,2003,Male,20780,50870,77350
46,2004,Annual,8.2,0.085,All days,35 to 44 years,Sleeping,Male,2004-35 to 44 years-Male,35 to 44 years,2004,Male,20610,53820,79820
47,2005,Annual,8.36,0.068,All days,35 to 44 years,Sleeping,Male,2005-35 to 44 years-Male,35 to 44 years,2005,Male,20570,54430,78450
48,2006,Annual,8.28,0.078,All days,35 to 44 years,Sleeping,Male,2006-35 to 44 years-Male,35 to 44 years,2006,Male,20370,58720,82250
49,2007,Annual,8.28,0.079,All days,35 to 44 years,Sleeping,Male,2007-35 to 44 years-Male,35 to 44 years,2007,Male,20110,58430,79800
50,2008,Annual,8.31,0.07,All days,35 to 44 years,Sleeping,Male,2008-35 to 44 years-Male,35 to 44 years,2008,Male,19730,58740,77390
51,2009,Annual,8.28,0.071,All days,35 to 44 years,Sleeping,Male,2009-35 to 44 years-Male,35 to 44 years,2009,Male,19090,57900,76590
52,2010,Annual,8.29,0.076,All days,35 to 44 years,Sleeping,Male,2010-35 to 44 years-Male,35 to 44 years,2010,Male,18720,57090,74500
53,2011,Annual,8.35,0.077,All days,35 to 44 years,Sleeping,Male,2011-35 to 44 years-Male,35 to 44 years,2011,Male,18610,59060,74750
54,2012,Annual,8.33,0.076,All days,35 to 44 years,Sleeping,Male,2012-35 to 44 years-Male,35 to 44 years,2012,Male,18580,60740,75420
55,2013,Annual,8.37,0.068,All days,35 to 44 years,Sleeping,Male,2013-35 to 44 years-Male,35 to 44 years,2013,Male,18670,62850,77110
56,2014,Annual,8.19,0.086,All days,35 to 44 years,Sleeping,Male,2014-35 to 44 years-Male,35 to 44 years,2014,Male,18570,64390,77880
57,2015,Annual,8.67,0.123,All days,35 to 44 years,Sleeping,Male,2015-35 to 44 years-Male,35 to 44 years,2015,Male,18730,67460,81660
58,2016,Annual,8.41,0.107,All days,35 to 44 years,Sleeping,Male,2016-35 to 44 years-Male,35 to 44 years,2016,Male,18790,71080,85290
59,2017,Annual,8.36,0.097,All days,35 to 44 years,Sleeping,Male,2017-35 to 44 years-Male,35 to 44 years,2017,Male,19210,72960,86030
60,2003,Annual,8.08,0.056,All days,45 to 54 years,Sleeping,Male,2003-45 to 54 years-Male,45 to 54 years,2003,Male,19420,55310,84090
61,2004,Annual,8.11,0.082,All days,45 to 54 years,Sleeping,Male,2004-45 to 54 years-Male,45 to 54 years,2004,Male,19800,56920,84420
62,2005,Annual,8.03,0.08,All days,45 to 54 years,Sleeping,Male,2005-45 to 54 years-Male,45 to 54 years,2005,Male,20150,60990,87920
63,2006,Annual,8.2,0.082,All days,45 to 54 years,Sleeping,Male,2006-45 to 54 years-Male,45 to 54 years,2006,Male,20430,62290,87270
64,2007,Annual,8.18,0.086,All days,45 to 54 years,Sleeping,Male,2007-45 to 54 years-Male,45 to 54 years,2007,Male,20680,60800,83050
65,2008,Annual,8.16,0.076,All days,45 to 54 years,Sleeping,Male,2008-45 to 54 years-Male,45 to 54 years,2008,Male,20800,62340,82130
66,2009,Annual,8.17,0.064,All days,45 to 54 years,Sleeping,Male,2009-45 to 54 years-Male,45 to 54 years,2009,Male,20720,60760,80370
67,2010,Annual,8.15,0.072,All days,45 to 54 years,Sleeping,Male,2010-45 to 54 years-Male,45 to 54 years,2010,Male,20430,60710,79230
68,2011,Annual,8.23,0.072,All days,45 to 54 years,Sleeping,Male,2011-45 to 54 years-Male,45 to 54 years,2011,Male,20320,63970,80960
69,2012,Annual,8.38,0.086,All days,45 to 54 years,Sleeping,Male,2012-45 to 54 years-Male,45 to 54 years,2012,Male,20180,64400,79960
70,2013,Annual,8.4,0.083,All days,45 to 54 years,Sleeping,Male,2013-45 to 54 years-Male,45 to 54 years,2013,Male,19980,67770,83140
71,2014,Annual,8.46,0.082,All days,45 to 54 years,Sleeping,Male,2014-45 to 54 years-Male,45 to 54 years,2014,Male,19880,70360,85110
72,2015,Annual,8.22,0.08,All days,45 to 54 years,Sleeping,Male,2015-45 to 54 years-Male,45 to 54 years,2015,Male,19790,71500,86550
73,2016,Annual,8.17,0.079,All days,45 to 54 years,Sleeping,Male,2016-45 to 54 years-Male,45 to 54 years,2016,Male,19520,75010,90000
74,2017,Annual,8.47,0.109,All days,45 to 54 years,Sleeping,Male,2017-45 to 54 years-Male,45 to 54 years,2017,Male,19430,75160,88620
75,2003,Annual,8.32,0.068,All days,55 to 64 years,Sleeping,Male,2003-55 to 64 years-Male,55 to 64 years,2003,Male,13100,53880,81920
76,2004,Annual,8.3,0.076,All days,55 to 64 years,Sleeping,Male,2004-55 to 64 years-Male,55 to 64 years,2004,Male,13600,53950,80030
77,2005,Annual,8.2,0.077,All days,55 to 64 years,Sleeping,Male,2005-55 to 64 years-Male,55 to 64 years,2005,Male,14370,55860,80530
78,2006,Annual,8.32,0.095,All days,55 to 64 years,Sleeping,Male,2006-55 to 64 years-Male,55 to 64 years,2006,Male,14910,57220,80160
79,2007,Annual,8.32,0.088,All days,55 to 64 years,Sleeping,Male,2007-55 to 64 years-Male,55 to 64 years,2007,Male,15520,58800,80310
80,2008,Annual,8.24,0.071,All days,55 to 64 years,Sleeping,Male,2008-55 to 64 years-Male,55 to 64 years,2008,Male,15900,58950,77670
81,2009,Annual,8.37,0.084,All days,55 to 64 years,Sleeping,Male,2009-55 to 64 years-Male,55 to 64 years,2009,Male,16250,57850,76520
82,2010,Annual,8.51,0.077,All days,55 to 64 years,Sleeping,Male,2010-55 to 64 years-Male,55 to 64 years,2010,Male,17320,59260,77330
83,2011,Annual,8.4,0.076,All days,55 to 64 years,Sleeping,Male,2011-55 to 64 years-Male,55 to 64 years,2011,Male,17410,61160,77410
84,2012,Annual,8.31,0.093,All days,55 to 64 years,Sleeping,Male,2012-55 to 64 years-Male,55 to 64 years,2012,Male,17520,61410,76250
85,2013,Annual,8.52,0.084,All days,55 to 64 years,Sleeping,Male,2013-55 to 64 years-Male,55 to 64 years,2013,Male,17660,66160,81170
86,2014,Annual,8.35,0.068,All days,55 to 64 years,Sleeping,Male,2014-55 to 64 years-Male,55 to 64 years,2014,Male,18510,62670,75810
87,2015,Annual,8.38,0.087,All days,55 to 64 years,Sleeping,Male,2015-55 to 64 years-Male,55 to 64 years,2015,Male,18860,65660,79480
88,2016,Annual,8.45,0.106,All days,55 to 64 years,Sleeping,Male,2016-55 to 64 years-Male,55 to 64 years,2016,Male,18740,68230,81860
89,2017,Annual,8.3,0.086,All days,55 to 64 years,Sleeping,Male,2017-55 to 64 years-Male,55 to 64 years,2017,Male,18980,74850,88250
90,2003,Annual,8.89,0.066,All days,65 years and over,Sleeping,Male,2003-65 years and over-Male,65 years and over,2003,Male,14550,31630,48080
91,2003,Annual,8.89,0.066,All days,65 years and over,Sleeping,Male,2003-65 years and over-Male,65 years and over,2003,Male,8230,36120,54910
92,2003,Annual,8.89,0.066,All days,65 years and over,Sleeping,Male,2003-65 years and over-Male,65 years and over,2003,Male,6324,25780,39200
93,2004,Annual,8.76,0.067,All days,65 years and over,Sleeping,Male,2004-65 years and over-Male,65 years and over,2004,Male,14830,32720,48530
94,2004,Annual,8.76,0.067,All days,65 years and over,Sleeping,Male,2004-65 years and over-Male,65 years and over,2004,Male,8281,37260,55270
95,2004,Annual,8.76,0.067,All days,65 years and over,Sleeping,Male,2004-65 years and over-Male,65 years and over,2004,Male,6553,26980,40010
96,2005,Annual,8.98,0.098,All days,65 years and over,Sleeping,Male,2005-65 years and over-Male,65 years and over,2005,Male,14820,35730,51500
97,2005,Annual,8.98,0.098,All days,65 years and over,Sleeping,Male,2005-65 years and over-Male,65 years and over,2005,Male,8318,40910,58970
98,2005,Annual,8.98,0.098,All days,65 years and over,Sleeping,Male,2005-65 years and over-Male,65 years and over,2005,Male,6502,29100,41940
99,2006,Annual,9.03,0.081,All days,65 years and over,Sleeping,Male,2006-65 years and over-Male,65 years and over,2006,Male,15060,35610,49880
100,2006,Annual,9.03,0.081,All days,65 years and over,Sleeping,Male,2006-65 years and over-Male,65 years and over,2006,Male,8517,39440,55240
101,2006,Annual,9.03,0.081,All days,65 years and over,Sleeping,Male,2006-65 years and over-Male,65 years and over,2006,Male,6547,30620,42900
102,2007,Annual,8.91,0.102,All days,65 years and over,Sleeping,Male,2007-65 years and over-Male,65 years and over,2007,Male,15320,38470,52540
103,2007,Annual,8.91,0.102,All days,65 years and over,Sleeping,Male,2007-65 years and over-Male,65 years and over,2007,Male,8714,43830,59870
104,2007,Annual,8.91,0.102,All days,65 years and over,Sleeping,Male,2007-65 years and over-Male,65 years and over,2007,Male,6604,31390,42880
105,2008,Annual,8.95,0.088,All days,65 years and over,Sleeping,Male,2008-65 years and over-Male,65 years and over,2008,Male,15910,39050,51440
106,2008,Annual,8.95,0.088,All days,65 years and over,Sleeping,Male,2008-65 years and over-Male,65 years and over,2008,Male,9191,44510,58640
107,2008,Annual,8.95,0.088,All days,65 years and over,Sleeping,Male,2008-65 years and over-Male,65 years and over,2008,Male,6722,31580,41610
108,2009,Annual,8.83,0.085,All days,65 years and over,Sleeping,Male,2009-65 years and over-Male,65 years and over,2009,Male,16410,38750,51270
109,2009,Annual,8.83,0.085,All days,65 years and over,Sleeping,Male,2009-65 years and over-Male,65 years and over,2009,Male,9530,43930,58120
110,2009,Annual,8.83,0.085,All days,65 years and over,Sleeping,Male,2009-65 years and over-Male,65 years and over,2009,Male,6876,31570,41770
111,2010,Annual,9.0,0.081,All days,65 years and over,Sleeping,Male,2010-65 years and over-Male,65 years and over,2010,Male,16970,39800,51940
112,2010,Annual,9.0,0.081,All days,65 years and over,Sleeping,Male,2010-65 years and over-Male,65 years and over,2010,Male,9776,46250,60350
113,2010,Annual,9.0,0.081,All days,65 years and over,Sleeping,Male,2010-65 years and over-Male,65 years and over,2010,Male,7190,31030,40490
114,2011,Annual,9.05,0.092,All days,65 years and over,Sleeping,Male,2011-65 years and over-Male,65 years and over,2011,Male,17920,42250,53470
115,2011,Annual,9.05,0.092,All days,65 years and over,Sleeping,Male,2011-65 years and over-Male,65 years and over,2011,Male,10750,47980,60730
116,2011,Annual,9.05,0.092,All days,65 years and over,Sleeping,Male,2011-65 years and over-Male,65 years and over,2011,Male,7169,33650,42590
117,2012,Annual,8.81,0.075,All days,65 years and over,Sleeping,Male,2012-65 years and over-Male,65 years and over,2012,Male,18800,44190,54860
118,2012,Annual,8.81,0.075,All days,65 years and over,Sleeping,Male,2012-65 years and over-Male,65 years and over,2012,Male,11320,49720,61740
119,2012,Annual,8.81,0.075,All days,65 years and over,Sleeping,Male,2012-65 years and over-Male,65 years and over,2012,Male,7479,35810,44460
120,2013,Annual,8.83,0.078,All days,65 years and over,Sleeping,Male,2013-65 years and over-Male,65 years and over,2013,Male,19770,47080,57760
121,2013,Annual,8.83,0.078,All days,65 years and over,Sleeping,Male,2013-65 years and over-Male,65 years and over,2013,Male,12260,51370,63020
122,2013,Annual,8.83,0.078,All days,65 years and over,Sleeping,Male,2013-65 years and over-Male,65 years and over,2013,Male,7503,40070,49160
123,2014,Annual,8.96,0.087,All days,65 years and over,Sleeping,Male,2014-65 years and over-Male,65 years and over,2014,Male,19950,48350,58490
124,2014,Annual,8.96,0.087,All days,65 years and over,Sleeping,Male,2014-65 years and over-Male,65 years and over,2014,Male,12240,53200,64340
125,2014,Annual,8.96,0.087,All days,65 years and over,Sleeping,Male,2014-65 years and over-Male,65 years and over,2014,Male,7712,40660,49190
126,2015,Annual,8.97,0.078,All days,65 years and over,Sleeping,Male,2015-65 years and over-Male,65 years and over,2015,Male,20660,48630,58870
127,2015,Annual,8.97,0.078,All days,65 years and over,Sleeping,Male,2015-65 years and over-Male,65 years and over,2015,Male,12620,54760,66280
128,2015,Annual,8.97,0.078,All days,65 years and over,Sleeping,Male,2015-65 years and over-Male,65 years and over,2015,Male,8040,39030,47240
129,2016,Annual,8.9,0.072,All days,65 years and over,Sleeping,Male,2016-65 years and over-Male,65 years and over,2016,Male,21600,50590,60700
130,2016,Annual,8.9,0.072,All days,65 years and over,Sleeping,Male,2016-65 years and over-Male,65 years and over,2016,Male,13320,56790,68140
131,2016,Annual,8.9,0.072,All days,65 years and over,Sleeping,Male,2016-65 years and over-Male,65 years and over,2016,Male,8282,40610,48720
132,2017,Annual,8.75,0.077,All days,65 years and over,Sleeping,Male,2017-65 years and over-Male,65 years and over,2017,Male,22440,54970,64820
133,2017,Annual,8.75,0.077,All days,65 years and over,Sleeping,Male,2017-65 years and over-Male,65 years and over,2017,Male,13940,60900,71810
134,2017,Annual,8.75,0.077,All days,65 years and over,Sleeping,Male,2017-65 years and over-Male,65 years and over,2017,Male,8498,45240,53350
135,2003,Annual,8.65,0.022,All days,15 years and over,Sleeping,Female,2003-15 years and over-Female,15 years and over,2003,Female,102700,24630,37450
136,2004,Annual,8.61,0.028,All days,15 years and over,Sleeping,Female,2004-15 years and over-Female,15 years and over,2004,Female,103400,25030,37120
137,2005,Annual,8.71,0.029,All days,15 years and over,Sleeping,Female,2005-15 years and over-Female,15 years and over,2005,Female,104200,26260,37860
138,2006,Annual,8.69,0.035,All days,15 years and over,Sleeping,Female,2006-15 years and over-Female,15 years and over,2006,Female,104600,28420,39810
139,2007,Annual,8.63,0.03,All days,15 years and over,Sleeping,Female,2007-15 years and over-Female,15 years and over,2007,Female,105200,29250,39950
140,2008,Annual,8.64,0.034,All days,15 years and over,Sleeping,Female,2008-15 years and over-Female,15 years and over,2008,Female,106400,29090,38320
141,2009,Annual,8.73,0.03,All days,15 years and over,Sleeping,Female,2009-15 years and over-Female,15 years and over,2009,Female,106200,29720,39320
142,2010,Annual,8.76,0.033,All days,15 years and over,Sleeping,Female,2010-15 years and over-Female,15 years and over,2010,Female,107200,29750,38820
143,2011,Annual,8.8,0.035,All days,15 years and over,Sleeping,Female,2011-15 years and over-Female,15 years and over,2011,Female,108300,30550,38670
144,2012,Annual,8.86,0.033,All days,15 years and over,Sleeping,Female,2012-15 years and over-Female,15 years and over,2012,Female,109400,31370,38950
145,2013,Annual,8.82,0.034,All days,15 years and over,Sleeping,Female,2013-15 years and over-Female,15 years and over,2013,Female,112100,32450,39810
146,2014,Annual,8.9,0.034,All days,15 years and over,Sleeping,Female,2014-15 years and over-Female,15 years and over,2014,Female,112600,32590,39420
147,2015,Annual,8.9,0.033,All days,15 years and over,Sleeping,Female,2015-15 years and over-Female,15 years and over,2015,Female,114400,34450,41710
148,2016,Annual,8.88,0.037,All days,15 years and over,Sleeping,Female,2016-15 years and over-Female,15 years and over,2016,Female,115400,36160,43380
149,2017,Annual,8.9,0.037,All days,15 years and over,Sleeping,Female,2017-15 years and over-Female,15 years and over,2017,Female,116500,38400,45270
150,2003,Annual,9.16,0.075,All days,15 to 24 years,Sleeping,Female,2003-15 to 24 years-Female,15 to 24 years,2003,Female,13590,10780,16380
151,2004,Annual,9.34,0.105,All days,15 to 24 years,Sleeping,Female,2004-15 to 24 years-Female,15 to 24 years,2004,Female,13590,11180,16580
152,2005,Annual,9.35,0.094,All days,15 to 24 years,Sleeping,Female,2005-15 to 24 years-Female,15 to 24 years,2005,Female,13480,11520,16610
153,2006,Annual,9.17,0.097,All days,15 to 24 years,Sleeping,Female,2006-15 to 24 years-Female,15 to 24 years,2006,Female,13270,12290,17220
154,2007,Annual,9.2,0.107,All days,15 to 24 years,Sleeping,Female,2007-15 to 24 years-Female,15 to 24 years,2007,Female,13160,12700,17340
155,2008,Annual,9.13,0.119,All days,15 to 24 years,Sleeping,Female,2008-15 to 24 years-Female,15 to 24 years,2008,Female,13260,12970,17080
156,2009,Annual,9.33,0.098,All days,15 to 24 years,Sleeping,Female,2009-15 to 24 years-Female,15 to 24 years,2009,Female,12800,12330,16310
157,2010,Annual,9.27,0.115,All days,15 to 24 years,Sleeping,Female,2010-15 to 24 years-Female,15 to 24 years,2010,Female,12540,12300,16050
158,2011,Annual,9.31,0.111,All days,15 to 24 years,Sleeping,Female,2011-15 to 24 years-Female,15 to 24 years,2011,Female,12930,12600,15940
159,2012,Annual,9.53,0.112,All days,15 to 24 years,Sleeping,Female,2012-15 to 24 years-Female,15 to 24 years,2012,Female,13130,13380,16610
160,2013,Annual,9.38,0.128,All days,15 to 24 years,Sleeping,Female,2013-15 to 24 years-Female,15 to 24 years,2013,Female,13400,14000,17180
161,2014,Annual,9.6,0.131,All days,15 to 24 years,Sleeping,Female,2014-15 to 24 years-Female,15 to 24 years,2014,Female,13410,13650,16510
162,2015,Annual,9.64,0.129,All days,15 to 24 years,Sleeping,Female,2015-15 to 24 years-Female,15 to 24 years,2015,Female,13430,14770,17880
163,2016,Annual,9.5,0.143,All days,15 to 24 years,Sleeping,Female,2016-15 to 24 years-Female,15 to 24 years,2016,Female,13470,15430,18510
164,2017,Annual,9.66,0.136,All days,15 to 24 years,Sleeping,Female,2017-15 to 24 years-Female,15 to 24 years,2017,Female,13230,17070,20130
165,2003,Annual,8.73,0.056,All days,25 to 34 years,Sleeping,Female,2003-25 to 34 years-Female,25 to 34 years,2003,Female,17160,26760,40690
166,2004,Annual,8.51,0.069,All days,25 to 34 years,Sleeping,Female,2004-25 to 34 years-Female,25 to 34 years,2004,Female,17040,26200,38860
167,2005,Annual,8.85,0.067,All days,25 to 34 years,Sleeping,Female,2005-25 to 34 years-Female,25 to 34 years,2005,Female,17060,26900,38770
168,2006,Annual,8.75,0.082,All days,25 to 34 years,Sleeping,Female,2006-25 to 34 years-Female,25 to 34 years,2006,Female,17150,29690,41600
169,2007,Annual,8.69,0.075,All days,25 to 34 years,Sleeping,Female,2007-25 to 34 years-Female,25 to 34 years,2007,Female,17240,31140,42530
170,2008,Annual,8.6,0.089,All days,25 to 34 years,Sleeping,Female,2008-25 to 34 years-Female,25 to 34 years,2008,Female,17450,29940,39440
171,2009,Annual,8.61,0.072,All days,25 to 34 years,Sleeping,Female,2009-25 to 34 years-Female,25 to 34 years,2009,Female,17500,30400,40210
172,2010,Annual,8.89,0.072,All days,25 to 34 years,Sleeping,Female,2010-25 to 34 years-Female,25 to 34 years,2010,Female,17510,30160,39350
173,2011,Annual,8.83,0.064,All days,25 to 34 years,Sleeping,Female,2011-25 to 34 years-Female,25 to 34 years,2011,Female,17640,31030,39280
174,2012,Annual,8.97,0.074,All days,25 to 34 years,Sleeping,Female,2012-25 to 34 years-Female,25 to 34 years,2012,Female,17820,31550,39180
175,2013,Annual,8.85,0.081,All days,25 to 34 years,Sleeping,Female,2013-25 to 34 years-Female,25 to 34 years,2013,Female,18230,31270,38360
176,2014,Annual,8.91,0.077,All days,25 to 34 years,Sleeping,Female,2014-25 to 34 years-Female,25 to 34 years,2014,Female,18380,32690,39540
177,2015,Annual,8.96,0.084,All days,25 to 34 years,Sleeping,Female,2015-25 to 34 years-Female,25 to 34 years,2015,Female,18860,35790,43320
178,2016,Annual,8.87,0.093,All days,25 to 34 years,Sleeping,Female,2016-25 to 34 years-Female,25 to 34 years,2016,Female,19270,35920,43100
179,2017,Annual,9.04,0.089,All days,25 to 34 years,Sleeping,Female,2017-25 to 34 years-Female,25 to 34 years,2017,Female,19410,37830,44600
180,2003,Annual,8.48,0.053,All days,35 to 44 years,Sleeping,Female,2003-35 to 44 years-Female,35 to 44 years,2003,Female,20010,29850,45390
181,2004,Annual,8.3,0.062,All days,35 to 44 years,Sleeping,Female,2004-35 to 44 years-Female,35 to 44 years,2004,Female,19740,30780,45660
182,2005,Annual,8.38,0.054,All days,35 to 44 years,Sleeping,Female,2005-35 to 44 years-Female,35 to 44 years,2005,Female,19550,32150,46350
183,2006,Annual,8.49,0.073,All days,35 to 44 years,Sleeping,Female,2006-35 to 44 years-Female,35 to 44 years,2006,Female,19200,34760,48700
184,2007,Annual,8.41,0.071,All days,35 to 44 years,Sleeping,Female,2007-35 to 44 years-Female,35 to 44 years,2007,Female,18820,35410,48370
185,2008,Annual,8.44,0.06,All days,35 to 44 years,Sleeping,Female,2008-35 to 44 years-Female,35 to 44 years,2008,Female,18480,35540,46820
186,2009,Annual,8.53,0.069,All days,35 to 44 years,Sleeping,Female,2009-35 to 44 years-Female,35 to 44 years,2009,Female,17910,35930,47530
187,2010,Annual,8.5,0.072,All days,35 to 44 years,Sleeping,Female,2010-35 to 44 years-Female,35 to 44 years,2010,Female,17760,37210,48550
188,2011,Annual,8.51,0.069,All days,35 to 44 years,Sleeping,Female,2011-35 to 44 years-Female,35 to 44 years,2011,Female,17670,37840,47890
189,2012,Annual,8.69,0.08,All days,35 to 44 years,Sleeping,Female,2012-35 to 44 years-Female,35 to 44 years,2012,Female,17540,38970,48380
190,2013,Annual,8.67,0.068,All days,35 to 44 years,Sleeping,Female,2013-35 to 44 years-Female,35 to 44 years,2013,Female,18000,37870,46450
191,2014,Annual,8.63,0.064,All days,35 to 44 years,Sleeping,Female,2014-35 to 44 years-Female,35 to 44 years,2014,Female,17830,41080,49690
